City,Total Budget FY16,Fed Grants FY16,"Fed Grants as % of Total Budget",Population (2013),Per capita Federal Grants,Per Capital Total Spending,Source
Chicago,"$9,340,400,000 ","$1,051,800,000 ",11.26%,"2,719,000",$386.83 ,"$3,435.23 ","2016 Budget Overview. (pgs 31, 34, 35). City of Chicago: https://www.cityofchicago.org/content/dam/city/depts/obm/supp_info/2016Budget/2016BudgetOverviewCoC.pdf"
Los Angeles,"$8,582,600,000 ","$414,305,896 ",4.83%,"3,884,000",$106.67 ,"$2,209.73 ",Budget Fiscal Year 2015-16. (Page 395).  Los Angeles City Controller: https://d3n8a8pro7vhmx.cloudfront.net/controllergalperin/pages/268/attachments/original/1451502630/20152016budget.pdf
Minneapolis,"$1,341,200,000 ","$29,700,000 ",2.21%,"400,070",$74.24 ,"$3,352.41 ",2016 Council Adopted Budget. (pg 43). City of Minneapolis: http://www.minneapolismn.gov/www/groups/public/@finance/documents/webcontent/wcmsp-173028.pdf
New York City,"$84,400,000,000 ","$7,090,000,000 ",8.40%,"8,406,000",$843.45 ,"$10,040.45 ","New York City Revenue. New York City Comptroller Checkbook NYC, http://www.checkbooknyc.com/revenue/yeartype/B/year/117?expandBottomContURL=/panel_html/revenue_transactions/revenue/transactions/smnid/582/yeartype/B/year/117/fundsrccode/F"
Philadelphia,"$3,905,000,000 ","$29,000,000 ",0.74%,"1,553,000",$18.67 ,"$2,514.49 ","The Mayor's Operating Budget in Brief for Fiscal Year 2016. (pg 1). Retrieved from City of Philadelphia: http://www.phila.gov/finance/pdfs/FY%202016%20Budget%20in%20Brief%20as%20Approved%20-%20Final.pdf"
San Francisco,"$8,938,774,083 ","$448,394,850 ",5.02%,"837,442",$535.43 ,"$10,673.90 ","SF OpenBook Budget. City and County of San Francisco, http://openbook.sfgov.org/openbooks/cgi-bin/cognosisapi.dll?b_action=cognosViewer&ui.action=run&ui.object=/content/folder%5B%40name%3D%27Reports%27%5D/report%5B%40name%3D%27Budget%27%5D&ui.name=20Budget&run.outputFormat=&run.prompt=false#In-line Citation:(â€œSF OpenBook Budget,â€ù n.d.)"
Seattle,"$5,152,622,563 ","$43,593,126 ",0.85%,"652,405",$66.82 ,"$7,897.89 ",City of Seattle. 2016 Adopted Budget Resources. https://data.seattle.gov/Finance/2016-Adopted-Budget-Resources/c6kx-b52q
