Type,Donations
Education,529637
Immigration,307074
Arts & Culture,268613
Disaster,223676
Health,222652
Citizen Participation,135218
Civil Rights,102245
Training,82254
Violence Prevention,75078
Support For Vulnerable Communities,60937
Economic Growth,27777
Civil Participation Of Young People,18068
Inclusion,16707
Recreation,510
