Country,Donations
US,1174176
Mexico,503508
Guatemala,263494
El Salvador,69232
Puerto Rico,24985
Colombia,14510
Nicaragua,6953
Peru,4787
Honduras,2942
Venezuela,2015
Costa Rica,1495
Haiti,1002
Chile,608
Panama,443
Republica Dominicana,122
Uruguay,81
Bolivia,52
Argentina,42
